MaDonVi,TenDonVi,MaTinh
00,Trụ sở PVI,
01,PVI Hà Nội,
02,PVI Thăng Long,
03,PVI Đông Đô,
04,PVI Duyên Hải,
05,PVI Quảng Ninh,
07,PVI Kinh Bắc,
08,PVI Hải Dương,
09,PVI Vĩnh Phú,
10,PVI Thanh Hóa,
11,PVI Bắc Trung Bộ,
12,PVI Nam Trung Bộ,
13,PVI Đà Nẵng,
14,PVI Khánh Hòa,
15,PVI TP.HCM,
16,PVI Vũng Tàu,
17,PVI Sài Gòn,
18,PVI Bến Thành,
19,PVI Bình Dương,
20,PVI Đông Nam Bộ,
21,PVI Tây Nam,
22,PVI Nam Sài Gòn,
23,PVI Cà Mau,
24,PVI Tây Nguyên,
25,PVI Phía Nam,
26,PVI Huế,
28,PVI Thái Nguyên,
29,PVI Gia Định,
33,PVI Gia Lai,
34,PVI Hà Thành,
35,PVI Cửu Long,
36,PVI Quảng Nam,
37,PVI Quảng Bình,
38,PVI Thủ Đô,
39,PVI Thống Nhất,
40,PVI Bình Định,
41,PVI Tràng An,
42,PVI Âu Lạc,
43,PVI Thành Đô,
44,PVI Thủ Đức,
